"Database","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO-BP","GO:2000392","regulation of lamellipodium morphogenesis",11,-0.945509964219675,-1.50371975501266,0.00233822572462922,0.443508621316769,0.443508621316769,308,"tags=9%, list=1%, signal=9%","10630",0.431707695803346
"GO-BP","GO:0010649","regulation of cell communication by electrical coupling",14,-0.936559740353786,-1.50169494236713,0.00229755553755426,0.443508621316769,0.443508621316769,562,"tags=14%, list=2%, signal=14%","6910/10345",0.431707695803346
"GO-BP","GO:0006821","chloride transport",111,-0.74796898276531,-1.50088059389846,0.00404832215439873,0.553584517857315,0.553584517857315,1918,"tags=18%, list=7%, signal=17%","363/6557/203859/2741/4948/2563/9635/2569/2566/2557/2560/5349/56923/11254/26285/2555/63982/160728/2559/2567",0.407017918923954
"GO-BP","GO:0042440","pigment metabolic process",69,-0.800972786218693,-1.50064117329346,0.00372978955834955,0.527486889621588,0.527486889621588,1286,"tags=7%, list=4%, signal=7%","4948/259/54575/2168/54658",0.431707695803346
"GO-BP","GO:0015908","fatty acid transport",101,-0.760403343156695,-1.49777556916306,0.00224287062002856,0.443508621316769,0.443508621316769,1515,"tags=14%, list=5%, signal=13%","55867/28965/624/2169/56923/1381/2173/5375/160728/1579/2168/22925/9376/84647",0.431707695803346
"GO-BP","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",21,-0.914246829324108,-1.4977582694282,0.00114196375455224,0.372353151645172,0.372353151645172,24,"tags=5%, list=0%, signal=5%","341947",0.45505986738723
"GO-BP","GO:2000193","positive regulation of fatty acid transport",16,-0.90020637567737,-1.4958534755986,0.0129105238617566,0.783522596560964,0.783522596560964,233,"tags=12%, list=1%, signal=12%","1579/22925",0.380730400722792
"GO-BP","GO:0048706","embryonic skeletal system development",60,-0.795560504565478,-1.49558185888269,0.00712528859603033,0.679364111015389,0.679364111015389,2302,"tags=25%, list=8%, signal=23%","6899/116039/81031/3227/3219/1747/6495/7291/1909/3225/3237/3235/3207/130497/1750",0.407017918923954
"GO-BP","GO:0033148","positive regulation of intracellular estrogen receptor signaling pathway",10,-0.949497419060423,-1.49480569126542,0.00343601283439346,0.527486889621588,0.527486889621588,97,"tags=10%, list=0%, signal=10%","149563",0.431707695803346
"GO-BP","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle",23,0.8015661414529,1.49227382745118,0.0245418423579136,0.949381796477183,0.949381796477183,67,"tags=4%, list=0%, signal=4%","8929",0.352487857583619
"GO-BP","GO:0030326","embryonic limb morphogenesis",45,-0.825634834382824,-1.49141135573253,0.00615893877416123,0.679364111015389,0.679364111015389,2910,"tags=27%, list=10%, signal=24%","27152/6926/7042/4487/116039/5307/7291/6909/6910/3207/130497/6299",0.407017918923954
"GO-BP","GO:0035113","embryonic appendage morphogenesis",45,-0.825634834382824,-1.49141135573253,0.00615893877416123,0.679364111015389,0.679364111015389,2910,"tags=27%, list=10%, signal=24%","27152/6926/7042/4487/116039/5307/7291/6909/6910/3207/130497/6299",0.407017918923954
"GO-BP","GO:1905145","cellular response to acetylcholine",45,0.717567807652974,1.49084102842799,0.0232739529849538,0.938403135825098,0.938403135825098,2901,"tags=22%, list=10%, signal=20%","1143/85397/4061/375790/55584/1136/432355/59340/1141/1140",0.352487857583619
"GO-BP","GO:0030203","glycosaminoglycan metabolic process",63,-0.790125303440218,-1.48741238033155,0.00727542271790467,0.679364111015389,0.679364111015389,932,"tags=8%, list=3%, signal=8%","80760/3037/114771/23553/83539",0.407017918923954
"GO-BP","GO:0090158","endoplasmic reticulum membrane organization",16,-0.894470146853121,-1.48632170815568,0.0168286170148975,0.845745880748696,0.845745880748696,542,"tags=6%, list=2%, signal=6%","10345",0.352487857583619
"GO-BP","GO:0044070","regulation of monoatomic anion transport",11,-0.93341329108412,-1.48448145287707,0.00540656590999865,0.660470317737425,0.660470317737425,126,"tags=9%, list=0%, signal=9%","6781",0.407017918923954
"GO-BP","GO:0014821","phasic smooth muscle contraction",16,-0.892207059581909,-1.48256118495601,0.0181748787213063,0.883208982489928,0.883208982489928,229,"tags=12%, list=1%, signal=12%","3352/2668",0.352487857583619
"GO-BP","GO:0018342","protein prenylation",11,-0.931871191385685,-1.48202892898151,0.00605969882299658,0.679364111015389,0.679364111015389,10,"tags=9%, list=0%, signal=9%","23746",0.407017918923954
"GO-BP","GO:0097354","prenylation",11,-0.931871191385685,-1.48202892898151,0.00605969882299658,0.679364111015389,0.679364111015389,10,"tags=9%, list=0%, signal=9%","23746",0.407017918923954
"GO-BP","GO:0007528","neuromuscular junction development",43,-0.827694027632608,-1.48139061602332,0.00708536265105868,0.679364111015389,0.679364111015389,310,"tags=7%, list=1%, signal=7%","6572/284217/23024",0.407017918923954
"GO-BP","GO:0034143","regulation of toll-like receptor 4 signaling pathway",36,0.737023250589132,1.48070487710386,0.025326690766052,0.97333948826396,0.97333948826396,2558,"tags=17%, list=9%, signal=15%","730249/3929/3430/406932/92747/406982",0.352487857583619
"GO-BP","GO:0042167","heme catabolic process",12,-0.912544739569296,-1.47805414675384,0.0150458363891894,0.806583117982756,0.806583117982756,768,"tags=25%, list=3%, signal=24%","259/2168/54658",0.380730400722792
"GO-BP","GO:0046149","pigment catabolic process",12,-0.912544739569296,-1.47805414675384,0.0150458363891894,0.806583117982756,0.806583117982756,768,"tags=25%, list=3%, signal=24%","259/2168/54658",0.380730400722792
"GO-BP","GO:1903276","regulation of sodium ion export across plasma membrane",10,-0.938140500072762,-1.4769263513144,0.00803737215061513,0.679364111015389,0.679364111015389,772,"tags=20%, list=3%, signal=19%","5349/53828",0.380730400722792
"GO-BP","GO:1903278","positive regulation of sodium ion export across plasma membrane",10,-0.938140500072762,-1.4769263513144,0.00803737215061513,0.679364111015389,0.679364111015389,772,"tags=20%, list=3%, signal=19%","5349/53828",0.380730400722792
"GO-BP","GO:0035092","sperm DNA condensation",13,-0.932067942590888,-1.4749434238699,0.00320004506184906,0.515445932412873,0.515445932412873,43,"tags=8%, list=0%, signal=8%","7142",0.431707695803346
"GO-BP","GO:0046697","decidualization",16,-0.885960212095331,-1.47218093351945,0.0240984478757806,0.938403135825098,0.938403135825098,403,"tags=12%, list=1%, signal=12%","8614/6781",0.352487857583619
"GO-BP","GO:0072673","lamellipodium morphogenesis",15,-0.918424461339469,-1.470508320374,0.00843428233063323,0.679364111015389,0.679364111015389,308,"tags=7%, list=1%, signal=7%","10630",0.380730400722792
"GO-BP","GO:0007530","sex determination",11,-0.924507137617103,-1.47031728812331,0.00979738431082327,0.738572048046677,0.738572048046677,516,"tags=18%, list=2%, signal=18%","6943/6736",0.380730400722792
"GO-BP","GO:0035672","oligopeptide transmembrane transport",16,-0.884385490843089,-1.46956425325378,0.0259832237855027,0.987861683203072,0.987861683203072,32,"tags=6%, list=0%, signal=6%","6564",0.352487857583619
"GO-BP","GO:0033013","tetrapyrrole metabolic process",56,-0.801319097686604,-1.46778780491841,0.0067073703037493,0.679364111015389,0.679364111015389,768,"tags=5%, list=3%, signal=5%","259/2168/54658",0.407017918923954
"GO-BP","GO:0035973","aggrephagy",18,-0.90237615800035,-1.46577451297879,0.00521127163778042,0.660470317737425,0.660470317737425,177,"tags=6%, list=1%, signal=6%","26353",0.407017918923954
"GO-BP","GO:0030174","regulation of DNA-templated DNA replication initiation",19,-0.896076806374556,-1.46406889770291,0.00358147813855487,0.527486889621588,0.527486889621588,428,"tags=11%, list=1%, signal=10%","345643/647309",0.431707695803346
