"Rank","Ensembl_ID","DESeq2_log2FC","edgeR_logFC","DESeq2_padj","edgeR_FDR","mean_padj"
171,"ENSG00000160932.10",2.516,2.517,0.000529144724896994,3.95961108998367e-06,0.000266552167993489
172,"ENSG00000168026.18",1.469,1.495,1.90763266763132e-06,0.000618278823549526,0.000310093228108579
173,"ENSG00000162772.16",1.824,1.788,2.05938550117512e-06,0.000631025424831749,0.000316542405166462
174,"ENSG00000100342.20",1.169,1.161,1.41598655510427e-06,0.000633195531829764,0.000317305759192434
175,"ENSG00000152689.17",1.614,1.453,5.31313586697539e-06,0.000736474852397779,0.000370893994132377
176,"ENSG00000276863.1",1.285,1.3,1.58720027959771e-05,0.000778017664517329,0.000396944833656653
177,"ENSG00000281028.1",1.223,1.2,3.53303839412367e-06,0.000815672920963181,0.000409602979678652
178,"ENSG00000249310.2",1.499,1.576,0.000844149062145886,5.00773890199941e-06,0.000424578400523942
179,"ENSG00000166016.5",1.092,1.18,1.54359333345256e-05,0.000949859454017745,0.000482647693676135
180,"ENSG00000230191.1",3.605,3.349,0.00100970961333166,3.99681809630598e-08,0.000504874790756311
181,"ENSG00000115415.18",2.143,2.123,0.00102616273155527,6.76456122811311e-12,0.000513081369159917
182,"ENSG00000131979.18",1.02,1.007,1.1854306969354e-05,0.00155473801752421,0.000783296162246784
183,"ENSG00000141837.19",1.263,1.301,2.10471049453917e-05,0.00165308031589834,0.000837063710421865
184,"ENSG00000230438.6",1.023,1.09,0.00016491525375531,0.00170190629045265,0.000933410772103981
185,"ENSG00000279236.1",1.756,1.726,0.00181768888752542,8.54405653859999e-05,0.000951564726455709
186,"ENSG00000226738.1",2.272,2.096,0.00186190402919726,5.76383952403335e-05,0.000959771212218795
187,"ENSG00000227297.1",2.912,2.661,0.00192008343946798,2.06798529163629e-06,0.000961075712379809
188,"ENSG00000281100.1",1.263,1.157,0.00101315826676376,0.00101785360821896,0.00101550593749136
189,"ENSG00000233929.1",2.47,2.543,3.00103913514652e-05,0.00200330790448041,0.00101665914791594
190,"ENSG00000128342.4",2.241,1.715,0.00111034607053092,0.000985407310935844,0.00104787669073338
191,"ENSG00000120217.13",1.281,1.228,1.31020007489817e-05,0.00217724872448678,0.00109517536261788
