"Database","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO-BP",NA,NA,"GO:0060338","regulation of type I interferon-mediated signaling pathway","7/159","38/14135",0.184210526315789,16.3761999337968,10.1231838789957,1.87974165159512e-07,2.43749412906636e-05,2.43749412906636e-05,"TRIM6/ZBP1/OAS1/STAT2/USP18/ISG15/OAS3",7
"GO-BP",NA,NA,"GO:0032481","positive regulation of type I interferon production","9/159","77/14135",0.116883116883117,10.3908355795148,8.81307547604425,1.92905348669369e-07,2.43749412906636e-05,2.43749412906636e-05,"RIGI/IRF7/OAS2/IFIH1/STAT1/OAS1/ISG15/OAS3/DHX58",9
"GO-BP",NA,NA,"GO:0050688","regulation of defense response to virus","8/159","56/14135",0.142857142857143,12.6999101527403,9.35686353095017,1.9305063816856e-07,2.43749412906636e-05,2.43749412906636e-05,"RIGI/TRIM6/PARP9/STAT1/DTX3L/HERC5/PML/AIM2",8
"GO-BP",NA,NA,"GO:0050691","regulation of defense response to virus by host","7/159","39/14135",0.179487179487179,15.9562973713917,9.97580862652171,2.26943023203488e-07,2.79878802801884e-05,2.79878802801884e-05,"RIGI/TRIM6/PARP9/STAT1/DTX3L/PML/AIM2",7
"GO-BP",NA,NA,"GO:0032479","regulation of type I interferon production","11/159","132/14135",0.0833333333333333,7.40828092243187,7.88964791441293,2.76928590156805e-07,3.26344958578119e-05,3.26344958578119e-05,"RIGI/IRF7/OAS2/XAF1/IFIH1/SIGLEC1/STAT1/OAS1/ISG15/OAS3/DHX58",11
"GO-BP",NA,NA,"GO:0032606","type I interferon production","11/159","132/14135",0.0833333333333333,7.40828092243187,7.88964791441293,2.76928590156805e-07,3.26344958578119e-05,3.26344958578119e-05,"RIGI/IRF7/OAS2/XAF1/IFIH1/SIGLEC1/STAT1/OAS1/ISG15/OAS3/DHX58",11
"GO-BP",NA,NA,"GO:0001819","positive regulation of cytokine production","19/159","424/14135",0.044811320754717,3.98369823187374,6.65338905556622,2.93931065417912e-07,3.38851399980693e-05,3.38851399980693e-05,"C3AR1/RIGI/TRIM6/EIF2AK2/IRF7/OAS2/GBP5/IFIH1/LGALS9/FFAR2/STAT1/OAS1/RSAD2/CD274/AIM2/ISG15/IFI16/OAS3/DHX58",19
"GO-BP",NA,NA,"GO:0071360","cellular response to exogenous dsRNA","5/159","14/14135",0.357142857142857,31.7497753818509,12.277583563907,3.11938972139347e-07,3.51960078564884e-05,3.51960078564884e-05,"IFIT1/RIGI/IFIH1/OAS1/OAS3",5
"GO-BP",NA,NA,"GO:0032728","positive regulation of interferon-beta production","7/159","42/14135",0.166666666666667,14.8165618448637,9.56450644674399,3.86957807865324e-07,4.27507761481211e-05,4.27507761481211e-05,"RIGI/IRF7/OAS2/IFIH1/OAS1/ISG15/OAS3",7
"GO-BP",NA,NA,"GO:0071346","cellular response to type II interferon","8/159","63/14135",0.126984126984127,11.2888090246581,8.72965594061071,4.92422016463357e-07,5.32921214960241e-05,5.32921214960241e-05,"PARP14/GBP4/GBP5/LGALS9/PARP9/GBP1/STAT1/CCL2",8
"GO-BP",NA,NA,"GO:0032102","negative regulation of response to external stimulus","16/159","316/14135",0.0506329113924051,4.50123397818645,6.71376332034661,5.4400044074998e-07,5.76966867459429e-05,5.76966867459429e-05,"PARP14/TREX1/SERPING1/LGALS9/TNFAIP6/NMI/OAS1/CCL2/STAT2/TRAFD1/SERPINB9/USP18/ISG15/IFI16/OAS3/DHX58",16
"GO-BP",NA,NA,"GO:0071359","cellular response to dsRNA","5/159","16/14135",0.3125,27.7810534591195,11.4320821945226,6.68311206947764e-07,6.94912613812547e-05,6.94912613812547e-05,"IFIT1/RIGI/IFIH1/OAS1/OAS3",5
"GO-BP",NA,NA,"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","8/159","71/14135",0.112676056338028,10.0168305430065,8.12397003836099,1.25360863438398e-06,0.000127843972848812,0.000127843972848812,"H2BC8/H2BC21/CXCL10/CCL25/H2BC4/CCL2/H2BC18/H2BC5",8
"GO-BP",NA,NA,"GO:0098586","cellular response to virus","7/159","54/14135",0.12962962962963,11.5239925460051,8.26419054712209,2.26862907137426e-06,0.000216603004635015,0.000216603004635015,"TRIM6/IFIH1/LGALS9/CXCL10/OAS1/IFI6/ADAR",7
"GO-BP",NA,NA,"GO:0002385","mucosal immune response","6/159","35/14135",0.171428571428571,15.2398921832884,8.99644287363521,2.28432722146703e-06,0.000216603004635015,0.000216603004635015,"H2BC8/H2BC21/FFAR2/H2BC4/H2BC18/H2BC5",6
"GO-BP",NA,NA,"GO:0043330","response to exogenous dsRNA","5/159","20/14135",0.25,22.2248427672956,10.1311488909195,2.28734079946461e-06,0.000216603004635015,0.000216603004635015,"IFIT1/RIGI/IFIH1/OAS1/OAS3",5
"GO-BP",NA,NA,"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","5/159","20/14135",0.25,22.2248427672956,10.1311488909195,2.28734079946461e-06,0.000216603004635015,0.000216603004635015,"OAS1/STAT2/USP18/ISG15/OAS3",5
"GO-BP",NA,NA,"GO:0060759","regulation of response to cytokine stimulus","11/159","164/14135",0.0670731707317073,5.96276269366467,6.8182252742804,2.41258062940686e-06,0.000224454650486747,0.000224454650486747,"PARP14/RIGI/TRIM6/IFIH1/PARP9/ZBP1/OAS1/STAT2/USP18/ISG15/OAS3",11
"GO-BP",NA,NA,"GO:0032608","interferon-beta production","7/159","57/14135",0.12280701754386,10.9174666225312,8.00216228312649,3.29241721889841e-06,0.000295926923929123,0.000295926923929123,"RIGI/IRF7/OAS2/IFIH1/OAS1/ISG15/OAS3",7
"GO-BP",NA,NA,"GO:0032648","regulation of interferon-beta production","7/159","57/14135",0.12280701754386,10.9174666225312,8.00216228312649,3.29241721889841e-06,0.000295926923929123,0.000295926923929123,"RIGI/IRF7/OAS2/IFIH1/OAS1/ISG15/OAS3",7
"GO-BP",NA,NA,"GO:0002251","organ or tissue specific immune response","6/159","38/14135",0.157894736842105,14.0367428003972,8.58296231317327,3.77845777199568e-06,0.000333952692748218,0.000333952692748218,"H2BC8/H2BC21/FFAR2/H2BC4/H2BC18/H2BC5",6
"GO-BP",NA,NA,"GO:0043331","response to dsRNA","5/159","23/14135",0.217391304347826,19.325950232431,9.38157590211101,4.83071333194065e-06,0.000419955291791496,0.000419955291791496,"IFIT1/RIGI/IFIH1/OAS1/OAS3",5
"GO-BP",NA,NA,"GO:0039529","RIG-I signaling pathway","5/159","25/14135",0.2,17.7798742138365,8.95642839290308,7.49004518974342e-06,0.000640640478084022,0.000640640478084022,"DDX60/RIGI/OASL/OAS3/DHX58",5
"GO-BP",NA,NA,"GO:0002227","innate immune response in mucosa","5/159","26/14135",0.192307692307692,17.0960328979197,8.761875299342,9.18951339517339e-06,0.000773523643406421,0.000773523643406421,"H2BC8/H2BC21/H2BC4/H2BC18/H2BC5",5
"GO-BP",NA,NA,"GO:0019730","antimicrobial humoral response","8/159","97/14135",0.0824742268041237,7.3319068923037,6.67432619108287,1.33020514168873e-05,0.00110219966662114,0.00110219966662114,"H2BC8/H2BC21/CXCL10/CCL25/H2BC4/CCL2/H2BC18/H2BC5",8
"GO-BP",NA,NA,"GO:0097696","cell surface receptor signaling pathway via STAT","9/159","134/14135",0.0671641791044776,5.97085328076598,6.16656730225196,2.02231603914494e-05,0.00164989876239779,0.00164989876239779,"PARP14/LIF/PARP9/NMI/STAT1/SOCS1/CCL2/STAT2/NRTN",9
"GO-BP",NA,NA,"GO:0062207","regulation of pattern recognition receptor signaling pathway","10/159","172/14135",0.0581395348837209,5.16856808541758,5.86680175665184,2.45491463342585e-05,0.00197248671228141,0.00197248671228141,"DDX60/IFI35/EIF2AK2/TREX1/IRF7/GBP5/OASL/RSAD2/IFI16/DHX58",10
"GO-BP",NA,NA,"GO:0030522","intracellular receptor signaling pathway","14/159","351/14135",0.0398860398860399,3.54584386030927,5.15154324629278,4.25457213138971e-05,0.00336746209145666,0.00336746209145666,"DDX60/RIGI/EIF2AK2/TREX1/IRF7/GBP5/IFIH1/NR4A1/OAS1/OASL/RSAD2/IFI16/OAS3/DHX58",14
"GO-BP",NA,NA,"GO:0046597","host-mediated suppression of symbiont invasion","4/159","19/14135",0.210526315789474,18.7156570671963,8.24172083775819,5.23809519651464e-05,0.00408494394516428,0.00408494394516428,"IFITM1/LY6E/IFITM3/TRIM5",4
